,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
23,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[4.0,2.0,1.0]",HT,116.565,97.583,0.01112,"[0.0, 101.54, 97.39, 93.82]",0.2,0.5,"[4, 2, 1]","[3, 6, 1]"
24,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[10.0,6.0,1.0]",Classic,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[3, 6, 1]"
25,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[10.0,6.0,1.0]",ROTH,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[3, 6, 1]"
26,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[10.0,6.0,1.0]",PHAT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[3, 6, 1]"
27,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[10.0,6.0,1.0]",SCOT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[3, 6, 1]"
28,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[10.0,6.0,1.0]",ECKART,180.0,164.913,0.00702,"[0.0, 160.6, 161.88, 172.26]",0.2,0.5,"[10, 6, 1]","[3, 6, 1]"
29,"sim_T0.20s_d0.5_s[3.0,6.0,1.0]_m[10.0,6.0,1.0]",HT,180.0,180.0,0.0,"[0.0, 180.0, 180.0, 180.0]",0.2,0.5,"[10, 6, 1]","[3, 6, 1]"
30,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,3.0,1.0]",Classic,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 0, 1]"
31,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,3.0,1.0]",ROTH,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 0, 1]"
32,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,3.0,1.0]",PHAT,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 0, 1]"
33,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,3.0,1.0]",SCOT,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 0, 1]"
34,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,3.0,1.0]",ECKART,143.13,128.063,0.00701,"[0.0, 130.03, 128.96, 125.2]",0.2,0.5,"[4, 3, 1]","[1, 0, 1]"
35,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,3.0,1.0]",HT,143.13,129.963,0.00535,"[0.0, 133.31, 130.03, 126.55]",0.2,0.5,"[4, 3, 1]","[1, 0, 1]"
36,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[8.0,5.0,1.0]",Classic,147.995,142.803,0.00083,"[0.0, 144.55, 142.48, 141.38]",0.2,0.5,"[8, 5, 1]","[1, 0, 1]"
37,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[8.0,5.0,1.0]",ROTH,147.995,143.03,0.00076,"[0.0, 144.55, 143.16, 141.38]",0.2,0.5,"[8, 5, 1]","[1, 0, 1]"
38,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[8.0,5.0,1.0]",PHAT,147.995,143.03,0.00076,"[0.0, 144.55, 143.16, 141.38]",0.2,0.5,"[8, 5, 1]","[1, 0, 1]"
39,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[8.0,5.0,1.0]",SCOT,147.995,143.03,0.00076,"[0.0, 144.55, 143.16, 141.38]",0.2,0.5,"[8, 5, 1]","[1, 0, 1]"
40,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[8.0,5.0,1.0]",ECKART,147.995,141.167,0.00144,"[0.0, 140.51, 142.48, 140.51]",0.2,0.5,"[8, 5, 1]","[1, 0, 1]"
41,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[8.0,5.0,1.0]",HT,147.995,143.03,0.00076,"[0.0, 144.55, 143.16, 141.38]",0.2,0.5,"[8, 5, 1]","[1, 0, 1]"
42,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[5.0,6.0,1.0]",Classic,129.80599999999998,120.61,0.00261,"[0.0, 122.89, 120.49, 118.45]",0.2,0.5,"[5, 6, 1]","[1, 0, 1]"
43,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[5.0,6.0,1.0]",ROTH,129.80599999999998,120.61,0.00261,"[0.0, 122.89, 120.49, 118.45]",0.2,0.5,"[5, 6, 1]","[1, 0, 1]"
44,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[5.0,6.0,1.0]",PHAT,129.80599999999998,120.61,0.00261,"[0.0, 122.89, 120.49, 118.45]",0.2,0.5,"[5, 6, 1]","[1, 0, 1]"
45,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[5.0,6.0,1.0]",SCOT,129.80599999999998,120.61,0.00261,"[0.0, 122.89, 120.49, 118.45]",0.2,0.5,"[5, 6, 1]","[1, 0, 1]"
46,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[5.0,6.0,1.0]",ECKART,129.80599999999998,120.65,0.00259,"[0.0, 121.92, 120.96, 119.07]",0.2,0.5,"[5, 6, 1]","[1, 0, 1]"
47,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[5.0,6.0,1.0]",HT,129.80599999999998,120.61,0.00261,"[0.0, 122.89, 120.49, 118.45]",0.2,0.5,"[5, 6, 1]","[1, 0, 1]"
48,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,2.0,1.0]",Classic,153.435,141.103,0.00469,"[0.0, 144.55, 141.16, 137.6]",0.2,0.5,"[4, 2, 1]","[1, 0, 1]"
49,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,2.0,1.0]",ROTH,153.435,141.103,0.00469,"[0.0, 144.55, 141.16, 137.6]",0.2,0.5,"[4, 2, 1]","[1, 0, 1]"
50,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,2.0,1.0]",PHAT,153.435,141.103,0.00469,"[0.0, 144.55, 141.16, 137.6]",0.2,0.5,"[4, 2, 1]","[1, 0, 1]"
51,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,2.0,1.0]",SCOT,153.435,141.103,0.00469,"[0.0, 144.55, 141.16, 137.6]",0.2,0.5,"[4, 2, 1]","[1, 0, 1]"
52,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,2.0,1.0]",ECKART,153.435,138.847,0.00657,"[0.0, 140.51, 139.24, 136.79]",0.2,0.5,"[4, 2, 1]","[1, 0, 1]"
53,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[4.0,2.0,1.0]",HT,153.435,141.103,0.00469,"[0.0, 144.55, 141.16, 137.6]",0.2,0.5,"[4, 2, 1]","[1, 0, 1]"
54,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[10.0,6.0,1.0]",Classic,149.036,145.11,0.00048,"[0.0, 145.99, 145.26, 144.08]",0.2,0.5,"[10, 6, 1]","[1, 0, 1]"
55,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[10.0,6.0,1.0]",ROTH,149.036,108.277,0.05128,"[0.0, 147.48, 33.27, 144.08]",0.2,0.5,"[10, 6, 1]","[1, 0, 1]"
56,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[10.0,6.0,1.0]",PHAT,149.036,108.277,0.05128,"[0.0, 147.48, 33.27, 144.08]",0.2,0.5,"[10, 6, 1]","[1, 0, 1]"
57,"sim_T0.20s_d0.5_s[1.0,0.0,1.0]_m[10.0,6.0,1.0]",SCOT,149.036,108.277,0.05128,"[0.0, 147.48, 33.27, 144.08]",0.2,0.5,"[10, 6, 1]","[1, 0, 1]"
