sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[7.0,6.0,1.0]",Classic,110.136,109.243,2e-05,"[0.0, 110.93, 108.76, 108.04]",0.2,0.1,"[9, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[7.0,6.0,1.0]",ROTH,110.136,109.243,2e-05,"[0.0, 110.93, 108.76, 108.04]",0.2,0.1,"[9, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[7.0,6.0,1.0]",PHAT,110.136,109.243,2e-05,"[0.0, 110.93, 108.76, 108.04]",0.2,0.1,"[9, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[7.0,6.0,1.0]",SCOT,110.136,109.243,2e-05,"[0.0, 110.93, 108.76, 108.04]",0.2,0.1,"[9, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[7.0,6.0,1.0]",ECKART,110.136,104.49,0.00098,"[0.0, 106.61, 104.48, 102.38]",0.2,0.1,"[9, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[9.0,0.0,1.0]_m[7.0,6.0,1.0]",HT,110.136,109.243,2e-05,"[0.0, 110.93, 108.76, 108.04]",0.2,0.1,"[9, 0, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[9.0,8.0,1.0]",Classic,70.71,71.717,3e-05,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 0, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[9.0,8.0,1.0]",ROTH,70.71,71.717,3e-05,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 0, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[9.0,8.0,1.0]",PHAT,70.71,71.717,3e-05,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 0, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,0.0,1.0]_m[9.0,8.0,1.0]",SCOT,70.71,71.717,3e-05,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 0, 1]","[9, 8, 1]"
