,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.n,mic_array.position,source.position
22,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",ECKART,86.566,91.87,0.00087,"[0.0, 94.1, 92.05, 91.36, 91.02, 90.82]",0.2,0.1,6,"[5, 2, 1]","[5, 7, 1]"
23,"sim_T0.20s_d0.1_n6_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",HT,86.566,90.698,0.00053,"[0.0, 94.1, 92.05, 90.0, 88.98, 88.36]",0.2,0.1,6,"[5, 2, 1]","[5, 7, 1]"
24,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",Classic,85.996,90.24,0.00056,"[0.0, 94.1, 92.05, 90.0, 88.98, 88.36, 87.95]",0.2,0.1,7,"[5, 2, 1]","[5, 7, 1]"
25,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",ROTH,85.996,90.127,0.00053,"[0.0, 94.1, 92.05, 90.0, 88.98, 88.36, 87.27]",0.2,0.1,7,"[5, 2, 1]","[5, 7, 1]"
26,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",PHAT,85.996,90.127,0.00053,"[0.0, 94.1, 92.05, 90.0, 88.98, 88.36, 87.27]",0.2,0.1,7,"[5, 2, 1]","[5, 7, 1]"
27,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",SCOT,85.996,90.127,0.00053,"[0.0, 94.1, 92.05, 90.0, 88.98, 88.36, 87.27]",0.2,0.1,7,"[5, 2, 1]","[5, 7, 1]"
28,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",ECKART,85.996,91.558,0.00095,"[0.0, 94.1, 92.05, 91.36, 91.02, 90.82, 90.0]",0.2,0.1,7,"[5, 2, 1]","[5, 7, 1]"
29,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[5.0,7.0,1.0,]",HT,85.996,90.127,0.00053,"[0.0, 94.1, 92.05, 90.0, 88.98, 88.36, 87.27]",0.2,0.1,7,"[5, 2, 1]","[5, 7, 1]"
30,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",Classic,37.926,42.885,0.00076,"[0.0, 44.39, 41.38]",0.2,0.1,3,"[5, 2, 1]","[9, 5, 1]"
31,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ROTH,37.926,41.285,0.00035,"[0.0, 44.39, 38.18]",0.2,0.1,3,"[5, 2, 1]","[9, 5, 1]"
32,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",PHAT,37.926,41.285,0.00035,"[0.0, 44.39, 38.18]",0.2,0.1,3,"[5, 2, 1]","[9, 5, 1]"
33,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",SCOT,37.926,41.285,0.00035,"[0.0, 44.39, 38.18]",0.2,0.1,3,"[5, 2, 1]","[9, 5, 1]"
34,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",ECKART,37.926,52.55,0.0066,"[0.0, 55.13, 49.97]",0.2,0.1,3,"[5, 2, 1]","[9, 5, 1]"
35,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[9.0,5.0,1.0,]",HT,37.926,42.885,0.00076,"[0.0, 44.39, 41.38]",0.2,0.1,3,"[5, 2, 1]","[9, 5, 1]"
